fid,Tree ID,xcoord,ycoord
"1","2049",-120.041279183028,34.7433297493673
"2","2048",-120.04123973989,34.7434020617881
"3","2045",-120.04105567191,34.7433410188355
"4","2046",-120.041040645952,34.7433860967081
"5","2047",-120.04101998526,34.7434490179054
"6","2044",-120.041008715792,34.7430705515994
"7","2042",-120.040980542122,34.7430245346044
"8","2043",-120.041049098053,34.7430198389926
"9","2040",-120.040521311294,34.7421539681883
"10","2041",-120.040703501029,34.7421952895716
"11","2050",-120.032976402354,34.7425296171273
"12","2051",-120.033145444377,34.7424188006903
"13","2052",-120.032946350439,34.7422967147851
