date,time,sedgwick_rainfall_mm,sedgwick_relative_humidity_avg_percent,vpd_kpa,sedgwick_air_temp_2_m_avg_deg_c,sedgwick_photosynthetically_active_radiation_avg_mmol_m_2,sedgwick_total_solar_radiation_avg_w_m_2,sedgwick_wind_speed_avg_m_s
20220228,03:00:00,0,32.71,0.714803318621616,7.799,0,0,1.466
20220228,12:00:00,0,18.84,2.5289190318942083,24.66,1211,777,2.422
20220304,03:00:00,0,77.01,0.2619168611916712,8.83,0,0,0.821
20220304,12:00:00,0,63.93,0.5775686568693202,13.97,951,593,6.99
20220308,03:00:00,0,72.71,0.2137688816788699,3.408,3,0,0.017
20220308,12:00:00,0,21.09,1.7293708724544874,18.9,1260,799,2.533
20220311,03:00:00,0,46.66,0.4648298062135259,4.927,0,0,0.481
20220311,12:00:00,0,18.45,1.8645545189212382,19.58,1263,801,3.508
20220315,03:00:00,0,83.1,0.13370561219240448,3.549,0,0,1.064
20220315,12:00:00,0,37.57,1.5602112761631166,21.02,1106,692,5.549
20220325,03:00:00,0,85.5,0.16253278342323801,8.59,0,0,0.245
20220325,12:00:00,0,31.74,2.2952345748976093,25.94,1260,837,3.304
20220330,03:00:00,0,100,0,9.1,5,1,0.942
20220330,12:00:00,0,86.4,0.19914951696640923,12.6,450,282,2.559
20220404,03:00:00,0,100,0,6.911,8,0,1.538
20220404,12:00:00,0,38.19,1.5485173052822783,21.06,1409,845,7.466
20220406,03:00:00,0,48.29,0.8552540429283524,14.47,0,0,1.145
20220406,12:00:00,0,24.23,3.383546325202613,30.82,1375,855,3.466
20220411,03:00:00,0,96.1,0.028962739097440134,2.655,6,0,0.523
20220411,12:00:00,0,45.58,0.9854673421275552,15.88,1298,823,7.05
20220413,03:00:00,0,35.23,0.748440626797704,9.04,0,0,2.119
20220413,12:00:00,0,19.9,1.677001938819842,18.17,1305,873,6.962
20220414,03:00:00,0,95.4,0.03039255754891633,1.021,2,0,1.414
20220414,12:00:00,0,31.42,1.4992308791019002,18.86,1291,867,5.744
20220425,03:00:00,0,63.78,0.4428581737406405,9.88,0,0,0.433
20220425,12:00:00,0,15.09,3.127812306564327,27.49,1421,896,3.665
20220427,03:00:00,0,95.3,0.047650071817192614,7.116,0,0,0.552
20220427,12:00:00,0,43.21,1.3089671826496965,19.71,1399,885,3.207
20220504,03:00:00,0,71.38,0.25554513285384234,5.276,0,0,0.522
20220504,12:00:00,0,23.66,2.9106876446969623,28.08,1418,907,2.119
20220509,03:00:00,0,47.61,0.5538376183013332,7.728,0,0,4.799
20220509,12:00:00,0,28.48,1.3663337884136832,16.72,1402,884,6.644
20220523,03:00:00,0,88.3,0.11263516432005906,6.363,0,0,0.457
20220523,12:00:00,0,23.78,2.997068281849919,28.61,1155,904,5.066
20220525,03:00:00,0,68.16,0.44939218839765865,12.04,0,0,0.005
20220525,12:00:00,0,26.94,3.7079175860871585,33.08,1145,902,2.529
20220719,03:00:00,0,63.13,0.7466011305720072,17.64,0,0,0
20220719,12:00:00,0,23.27,3.9337122778304856,33.26,1115,912,3.531
20220818,03:00:00,0,67.2,0.5523899509688267,14.75,0,0,0.23
20220818,12:00:00,0,29.35,3.2331972612778155,31.25,1079,893,4.287
20220912,03:00:00,0,98.9,0.02428857046279518,19.02,2,1,0.585
20220912,12:00:00,0,52.48,1.8958291596748313,28.86,391,265,2.926
20220915,03:00:00,0,88.1,0.19454101697860893,14.29,0,0,0.095
20220915,12:00:00,0,44.23,1.7191658679301143,24.48,1221,821,2.378
20220916,03:00:00,0,89.5,0.15254908936140554,12.48,2,0,0.969
20220916,12:00:00,0,45.4,1.7115139029775472,24.76,1199,817,3.438
20221005,03:00:00,0,79.82,0.299009845606533,12.78,0,0,1.764
20221005,12:00:00,0,30.01,3.184809094201065,31.15,1056,747,2.471
20230414,03:00:00,0,98.4,0.011185758981003687,1.808,5,2,0.542
20230414,12:00:00,0,56.13,0.7679024835098345,15.35,1451,857,3.793
20230512,03:00:00,0,100,0,8.89,0,1,0.17
20230512,12:00:00,0,47.54,1.4810996558659555,23.02,2106,983,2.111
20230515,03:00:00,0,100,0,10.13,0,3,1.001
20230515,12:00:00,0,57.13,1.23696732971016,23.38,2201,1033,2.691
20230727,03:00:00,0,88.3,0.16459149472078002,11.99,0,0,1.203
20230727,12:00:00,0,28.96,3.7120275051271827,33.6,2063,965,3.729
20230728,03:00:00,0,76.27,0.36662487440292263,13.42,0,0,0.021
20230728,12:00:00,0,25.81,3.9886095797809977,34.11,2131,967,4.116
20230929,03:00:00,0,96.4,0.04227777505952645,9.28,11,1,0.373
20230929,12:00:00,0,51.32,1.3818826598392506,23.11,1721,801,3.244
20231007,03:00:00,0,44.08,1.1952468773015934,18.5,0,0,0.079
20231007,12:00:00,0,17.79,4.385410556180437,33.97,1678,818,2.958
20231019,03:00:00,0,43.91,1.150202105065156,17.84,1,0,0.143
20231019,12:00:00,0,19.07,4.389917769026786,34.27,1561,723,2.245
20240412,03:00:00,0,94.6,0.05592847072573454,7.428,4,0,0.449
20240412,12:00:00,0,72.83,0.501845174601503,16.19,1904,935,3.079
20240530,03:00:00,0,97.2,0.02911909732184563,7.488,15,1,1.381
20240530,12:00:00,0,47.6,1.6832080019768512,25.17,1850,958,4.234
20240903,03:00:00,0,78.55,0.37836383763133813,15.47,0,0,0.822
20240903,12:00:00,0,22.91,4.146830198068049,34.12,1735,885,2.562
20240905,03:00:00,0,61.81,0.7597810002242058,17.36,0,0,0.472
20240905,12:00:00,0,17.96,5.833617649789301,39.22,1717,873,3.618
